Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
3V8dNcwF3jyv75QcWy5meARenwNUirDBZzHLdawLCBcQZRFyvT8YRTspePjxvbsUBe3Xdvf9YJnZLhY3uF3C6amr,1783021269,2026-07-02T19:41:09,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,979104580000000,978826900000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
2cuiemN2Ah4BbbNauzdespgKyR9Gy8ZLDP1A2avr5EStvHWQPCB8GigFzkZvrcVXkBd3dDa3F84ame8MAEM7TCbP,1783021265,2026-07-02T19:41:05,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,979382260000000,979104580000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
3VZbmAjz2MKDaxZqVr6B1r27PxELPd8aaPKLQVa2HJD7iiEfzkGvT7erajxmrpN2jj7Gedg5WwXmwJmd5E6ABctK,1783021259,2026-07-02T19:40:59,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,979659940000000,979382260000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
ZJtQZcmvjLWWsWVuTUQqxvWkh6Jff6CJf7kfwkWZwjCGQds8QFYyCW2wFmd3huc3kg4YuS9ATt44MEp11bGLGyR,1783021256,2026-07-02T19:40:56,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,979937620000000,979659940000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
62jbg6KoXGy5UeQB6XUW58sf1ZrdvCUk38sgb6MS24Jf2BZ421mjjVnuniXe9qmdJuLxqantqnLSqWKLq6jN1mgw,1783021254,2026-07-02T19:40:54,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,980215300000000,979937620000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
4zVc93Z9qCpgCfprXKSTUXhAUwviPh4rmGeThSWZUEcJ8CHTA3roJ58qWGKLDHJruuNn4uUYVgY9xQCXbadYzSuk,1783021251,2026-07-02T19:40:51,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,980492980000000,980215300000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5yhd3r9NfcDKEUqQHxUGJNpZBKXP9k8TMskqXA3Dds6sU8TzXakZ7T1Nk5KHGPYj93hWv9Beb7jcsg6G3XzzSD4C,1783021250,2026-07-02T19:40:50,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,980770660000000,980492980000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
3ZFQtdLRdzRJgm9WRf6s6QjTDQkA8oXff147Z22kxdH8kuJQCHa8hWtAxapXwT2MfaUEkKfGURyB3VXKikeF2uBK,1783021248,2026-07-02T19:40:48,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,981048340000000,980770660000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
E11Kjs3nXTNukdRoG699BQZYjcP7JMf9z64EoHX3e5eTGoWW7m1vcLwNSkC6q4YT1y4dCf9MprBeh3G5XHLJ1tT,1783021246,2026-07-02T19:40:46,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,981326020000000,981048340000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5gDAvzT4PmQYdXcmzweuvvf713osBb764HpEcuaJngmfE8YvRpTF6Uct9hK7uUmpRczEAgbiUf3CemndKEhfCWtK,1783021245,2026-07-02T19:40:45,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,981603700000000,981326020000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
2jKJ8Y47AyYPj6NbgjRivXrLFPzCQPa7Cb3YQxdmCSXs3CFg3HiCHgNzMZBK5y8o4dXn3jJkPHuejVjJdDtsKNFP,1783021242,2026-07-02T19:40:42,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,981881380000000,981603700000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
2Ph1zoZuG3Ch8htW4QeA9Xx1rt3QLQR8ZTE7xDdVoSxsrfa2PUFbvuAGsHecc138xMz9zwmSZKJJ83HKifgR8E6R,1783021235,2026-07-02T19:40:35,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,982159060000000,981881380000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5HJj9Hsf8HoZDVdoQbmwwco7DGxEExv5uecnB3hRRXxGUspxwurU56oB6e5SxdGwhX1jommXdfMnsFSTXyrs5j4B,1783021227,2026-07-02T19:40:27,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,982436740000000,982159060000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
3cFxXuuacVr8Wrd6i2KA17oGPxAe9VoSEndYH6EbfVrAXvzW9GV2fUsu2GCo9q37yFkSkAg99kiAajtTgQ5GxFyQ,1783021225,2026-07-02T19:40:25,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,982714420000000,982436740000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
2ZtNZvXQ3N8aBkyxgubL5rmr999XMAdnqf2BGSmiQvG3rfGWLo765TXrLiqvNbt426nFUhbTrVU6UcGz16SzEfvw,1783021224,2026-07-02T19:40:24,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,982992100000000,982714420000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
4dq51UTU3Zz6YAzc1zmiMgeSaJAjbVkQfJb3hKMSw2aL6sqCzJV3apV15YUXo5Ns84jseF13HLxF99mNGnbo7Nda,1783021222,2026-07-02T19:40:22,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,983269780000000,982992100000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
4V34aYSCzHafFiJDzjVD6GgPUGSvFyLNzQWUnZrJaAmj8yJiVFen7VyMRTmYEz5FEw7mt6yucF3fbN458NW68mM9,1783021217,2026-07-02T19:40:17,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,983547460000000,983269780000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5bFyY8pLPgFtUmQwRJSKpW2xsKpyfNChADVmjvb8XazLUDFgNgj1pVDiHQhyZhyJ9rFQJqwZLT3cgTB8mXi62EWF,1783021212,2026-07-02T19:40:12,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,983825140000000,983547460000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
bz82oacTQJfitcCWn2Gi4YuZZ8x43wgPui15a6MEw86G1V719qTzBqdgAo5T6H7CFF9vt2LrFrgXGE7YMj9y9JN,1783021210,2026-07-02T19:40:10,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,984102820000000,983825140000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
25XiDtAziUDg1hXp1YqR1DwPJTbofFZXsBcWs5XC7LQ8VLhd9asow29W9ujFAsuAAX5BqfSykJb2VRpzcHi7Ax76,1783021209,2026-07-02T19:40:09,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,984380500000000,984102820000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
